County,GEOID,Population (2018,Simple Assault (NIBRS),Kidnapping/Abudction (NIBRS),Sexual Assault (NIBRS),Satutory Rape (NIBRS),Rape (Index),Aggravated Assault (Index),Child Abuse,Domestic Violence
Beaver,49001,6910,,,,,0,2,86,15
Box Elder,49003,55685,,,,,20,38,817,95
Cache,49005,128887,190,4,104,2,58,42,1891,220
Carbon,49007,21396,123,2,18,2,5,33,393,82
Daggett,49009,1061,,,,,0,0,19,4
Davis,49011,352805,1338,41,447,28,120,194,5175,641
Duchesne,49013,20850,231,6,67,8,18,38,383,74
Emery,49015,10669,,,,,,,196,41
Garfield,49017,5229,,,,,,,65,9
Grand,49019,10262,73,5,11,1,5,29,188,39
Iron,49021,54151,2,0,3,0,24,116,674,120
Juab,49023,12177,,,,,5,5,111,16
Kane,49025,7718,23,0,10,1,1,12,96,14
Millard,49027,13586,68,2,21,2,6,18,124,18
Morgan,49029,11963,6,2,1,0,1,3,175,22
Piute,49031,1663,,,,,,,21,3
Rich,49033,2428,,,,,0,2,36,4
Salt Lake,49035,1142081,8147,393,1755,45,767,2518,15837,2141
San Juan,49037,16490,,,,,4,3,303,63
Sanpete,49039,30578,18,0,5,1,5,14,381,54
Sevier,49041,21928,,,,,7,14,273,39
Summit,49043,41285,,,,,7,66,377,77
Tooele,49045,68858,77,11,37,0,54,86,955,129
Uintah,49047,36921,231,4,71,8,16,42,678,131
Utah,49049,633582,722,55,344,14,142,261,5789,826
Wasatch,49051,32138,36,1,7,4,5,28,294,42
Washington,49053,171042,761,32,196,17,58,162,2129,379
Wayne,49055,2752,4,1,1,0,0,2,34,5
Weber,49057,251571,2185,152,356,19,107,395,3690,457
